Model,Target,Class,Support (n),Precision,Recall (Sensitivity),Specificity,F1,Overall Accuracy,Accuracy 95% CI,N Matched Records
GPT-4o-mini (Zero-shot),HER2,equivocal,0,0.0,0.0,0.973,0.0,0.9021,"[0.877, 0.927]",521
GPT-4o-mini (Zero-shot),HER2,negative,221,0.916,0.932,0.937,0.924,0.9021,"[0.877, 0.927]",521
GPT-4o-mini (Zero-shot),HER2,not reported,251,0.967,0.932,0.97,0.949,0.9021,"[0.877, 0.927]",521
GPT-4o-mini (Zero-shot),HER2,positive,49,0.75,0.612,0.979,0.674,0.9021,"[0.877, 0.927]",521
GPT-4o-mini (Zero-shot),ER,negative,67,0.894,0.881,0.985,0.887,0.9482,"[0.929, 0.967]",521
GPT-4o-mini (Zero-shot),ER,not reported,240,0.974,0.946,0.979,0.96,0.9482,"[0.929, 0.967]",521
GPT-4o-mini (Zero-shot),ER,positive,214,0.937,0.972,0.954,0.954,0.9482,"[0.929, 0.967]",521
GPT-4o-mini (Zero-shot),PR,negative,106,0.884,0.934,0.969,0.908,0.9424,"[0.923, 0.962]",521
GPT-4o-mini (Zero-shot),PR,not reported,240,0.974,0.95,0.979,0.962,0.9424,"[0.923, 0.962]",521
GPT-4o-mini (Zero-shot),PR,positive,175,0.937,0.937,0.968,0.937,0.9424,"[0.923, 0.962]",521
GPT-4o-mini (Zero-shot),Tumor Size,2-5 cm,288,0.89,0.868,0.867,0.879,0.8004,"[0.768, 0.835]",521
GPT-4o-mini (Zero-shot),Tumor Size,< 2 cm,99,0.782,0.869,0.943,0.823,0.8004,"[0.768, 0.835]",521
GPT-4o-mini (Zero-shot),Tumor Size,> 5 cm,62,0.821,0.742,0.978,0.78,0.8004,"[0.768, 0.835]",521
GPT-4o-mini (Zero-shot),Tumor Size,not reported,72,0.473,0.486,0.913,0.479,0.8004,"[0.768, 0.835]",521
GPT-4o-mini (Few-shot),HER2,equivocal,0,0.0,0.0,0.969,0.0,0.8676,"[0.839, 0.896]",521
GPT-4o-mini (Few-shot),HER2,negative,221,0.925,0.833,0.95,0.876,0.8676,"[0.839, 0.896]",521
GPT-4o-mini (Few-shot),HER2,not reported,251,0.879,0.952,0.878,0.914,0.8676,"[0.839, 0.896]",521
GPT-4o-mini (Few-shot),HER2,positive,49,0.853,0.592,0.989,0.699,0.8676,"[0.839, 0.896]",521
GPT-4o-mini (Few-shot),ER,negative,67,0.921,0.866,0.989,0.892,0.9367,"[0.916, 0.956]",521
GPT-4o-mini (Few-shot),ER,not reported,240,0.924,0.962,0.932,0.943,0.9367,"[0.916, 0.956]",521
GPT-4o-mini (Few-shot),ER,positive,214,0.957,0.93,0.971,0.943,0.9367,"[0.916, 0.956]",521
GPT-4o-mini (Few-shot),PR,negative,106,0.913,0.887,0.978,0.9,0.929,"[0.906, 0.950]",521
GPT-4o-mini (Few-shot),PR,not reported,240,0.92,0.962,0.929,0.941,0.929,"[0.906, 0.950]",521
GPT-4o-mini (Few-shot),PR,positive,175,0.952,0.909,0.977,0.93,0.929,"[0.906, 0.950]",521
GPT-4o-mini (Few-shot),Tumor Size,2-5 cm,288,0.903,0.872,0.884,0.887,0.8177,"[0.783, 0.848]",521
GPT-4o-mini (Few-shot),Tumor Size,< 2 cm,99,0.822,0.889,0.955,0.854,0.8177,"[0.783, 0.848]",521
GPT-4o-mini (Few-shot),Tumor Size,> 5 cm,62,0.877,0.806,0.985,0.84,0.8177,"[0.783, 0.848]",521
GPT-4o-mini (Few-shot),Tumor Size,not reported,72,0.468,0.514,0.906,0.49,0.8177,"[0.783, 0.848]",521
GPT-4o-mini (Chain-of-Thought),HER2,equivocal,0,0.0,0.0,0.979,0.0,0.9117,"[0.887, 0.937]",521
GPT-4o-mini (Chain-of-Thought),HER2,negative,221,0.919,0.919,0.94,0.919,0.9117,"[0.887, 0.937]",521
GPT-4o-mini (Chain-of-Thought),HER2,not reported,251,0.96,0.948,0.963,0.954,0.9117,"[0.887, 0.937]",521
GPT-4o-mini (Chain-of-Thought),HER2,positive,49,0.829,0.694,0.985,0.756,0.9117,"[0.887, 0.937]",521
GPT-4o-mini (Chain-of-Thought),ER,negative,67,0.882,0.896,0.982,0.889,0.9539,"[0.935, 0.971]",521
GPT-4o-mini (Chain-of-Thought),ER,not reported,240,0.975,0.962,0.979,0.969,0.9539,"[0.935, 0.971]",521
GPT-4o-mini (Chain-of-Thought),ER,positive,214,0.954,0.963,0.967,0.958,0.9539,"[0.935, 0.971]",521
